	text	frequency	label
6891	Braßat	12	Rufname
32592	Kampschröer	1	Beruf
26577	Herdtle	70	Rufname
57597	Röttinger	219	Herkunft
4528	Bernsdorff	58	Herkunft
22950	Gutthardt	10	Rufname
27054	Heynatzky	2	Herkunft
57798	Rüschkamp	25	Wohnstätte
62903	Selimaj	20	Rufname
10771	Danelius	2	Rufname
74973	Wesolleck	2	Übername
71588	Viezent	4	Rufname
59484	Schierack	54	Übername
36595	Kottmaier	8	Beruf
60586	Schmittgens	7	Beruf
40158	Leichtweiss	8	Übername
19749	Gervasi	45	Rufname
63740	Simat	42	Rufname
50590	Ottle	1	Rufname
8466	Butwilowski	15	Rufname
36493	Koscholke	26	Übername
15093	Engelskirchen	167	Herkunft
36630	Kovac	533	Beruf
4600	Bertleff	157	Rufname
37869	Kudlacek	12	Übername
43955	Marwedel	143	Herkunft
36106	Kondruss	1	Rufname
69074	Thysen	4	Rufname
60270	Schlösser	2285	Beruf
29497	Höffel	15	Wohnstätte
69197	Tiedek	2	Rufname
12106	Dimarco	7	Rufname
8337	Burkhert	2	Rufname
75656	Wiescholleck	4	Übername
31604	Josenhans	79	Rufname
27522	Hirschhauser	2	Herkunft
37671	Kräwer	32	Herkunft
29528	Höfl	157	Wohnstätte
7043	Brenkes	5	Rufname
16948	Flachskampf	15	Wohnstätte
25876	Heitbrock	32	Wohnstätte
34785	Klesmann	29	Rufname
71145	Vandam	12	Wohnstätte
22606	Grütmacker	1	Beruf
76767	Wolfhardt	2	Rufname
18536	Fürbaß	80	Übername
53655	Puxbaum	1	Wohnstätte
19137	Gehlsen	58	Rufname
8652	Bödtger	1	Beruf
69378	Timofejevs	2	Rufname
42392	Lytvyn	10	Herkunft
64054	Smart	39	Übername
56136	Roelcke	24	Rufname
3771	Behnert	322	Rufname
31979	Jänsch	915	Rufname
27155	Hilbricht	31	Rufname
282	Ackermann	8905	Beruf
25870	Heisterkamp	588	Wohnstätte
43138	Maess	19	Rufname
63106	Serbetci	21	Beruf
47105	Mühlenberndt	2	Rufname
55329	Renftel	26	Übername
22185	Gruenenbaum	1	Wohnstätte
28815	Hudacsek	1	Beruf
33104	Kate	20	Wohnstätte
74800	Wennmachers	4	Beruf
60191	Schlotfeldt	161	Herkunft
64195	Soerns	1	Rufname
72541	van der Ven	21	Wohnstätte
4548	Berntssen	4	Rufname
65171	Stapelmanns	4	Wohnstätte
7662	Brustkern	48	Beruf
62157	Schäler	96	Beruf
45178	Merhold	15	Rufname
10202	Corthals	6	Übername
1307	Anastasiadis	68	Rufname
24025	Hahlgans	7	Übername
41981	Luckhart	25	Rufname
60343	Schmallenberg	17	Herkunft
75456	Wiedenmeier	7	Beruf
5527	Blaschka	145	Rufname
18890	Garzarek	10	Beruf
3819	Behrsing	40	Wohnstätte
62080	Schymaczek	4	Rufname
61122	Schomeier	13	Beruf
16260	Feindt	488	Übername
52186	Philippzik	16	Rufname
31825	Junglaß	6	Rufname
38573	Kässmaier	1	Beruf
30848	Janschel	10	Rufname
12185	Dionisius	19	Rufname
54327	Rasmuß	2	Rufname
20454	Goedecke	569	Rufname
74097	Weiche	118	Rufname
32303	Kahyaoglu	29	Beruf
61447	Schuhberth	1	Beruf
52423	Pinn	100	Beruf
12418	Dmitriew	11	Rufname
25942	Heldebrant	1	Rufname
59700	Schindelhauer	103	Beruf
29000	Huncke	21	Rufname
200	Acay	11	Rufname
20623	Goldfus	1	Übername
64480	Spanidis	24	Übername
71491	Vetterli	1	Übername
28272	Holzbeierlein	10	Beruf
62003	Schwingshackl	6	Beruf
19558	Gerhold	795	Rufname
22912	Guthschmidt	2	Beruf
67700	Sädler	29	Beruf
11527	Deschermeier	23	Beruf
55074	Reiprecht	4	Rufname
43739	Markhof	77	Wohnstätte
2615	Bahlow	20	Herkunft
71409	Venzloff	1	Rufname
37725	Kubacek	2	Rufname
76404	Witzoreck	4	Übername
19829	Gewers	48	Rufname
2825	Balsmeier	66	Beruf
6809	Brassat	203	Rufname
9857	Classes	2	Rufname
47021	Mörtelmeier	5	Beruf
44802	Meijering	8	Beruf
36444	Kortekamp	102	Wohnstätte
36065	Kolovratek	1	Beruf
16906	Fitterer	216	Beruf
72321	Völkerrath	1	Rufname
42998	Maciejek	53	Rufname
6717	Brammerloh	32	Wohnstätte
10090	Conerth	1	Rufname
38985	Kühnhold	192	Rufname
27464	Hinzelin	2	Rufname
55136	Reithmaier	102	Beruf
70602	Ullschmied	3	Beruf
21850	Grosse-Heilmann	2	Wohnstätte
19286	Geißendorf	6	Herkunft
48557	Nießl	98	Rufname
17825	Friedrichsohn	24	Rufname
15368	Erkmann	49	Rufname
23210	Göpffarth	20	Rufname
68208	Tenberg	157	Wohnstätte
68390	Teunißen	13	Rufname
38763	Könkes	4	Rufname
57954	Saedtler	6	Beruf
71818	Voidl	1	Beruf
60616	Schmueser	4	Übername
12488	Doeppenbecker	1	Beruf
76397	Witzigmann	114	Übername
19845	Gezen	26	Übername
43809	Marquard	673	Rufname
55255	Remiger	92	Rufname
16114	Fechtler	21	Herkunft
50009	Okutucu	25	Beruf
65721	Steinkrauss	24	Beruf
66650	Strauscheidt	6	Herkunft
6611	Bowenkerk	4	Wohnstätte
49463	Oberemm	10	Herkunft
63643	Siewertsen	113	Rufname
11178	Deis	366	Rufname
40245	Leimhaus	6	Wohnstätte
32724	Kapschak	29	Rufname
38692	Köhntop	6	Herkunft
63380	Siebentritt	125	Übername
2390	Ayten	65	Übername
4488	Berndt	7528	Rufname
55403	Reschka	140	Übername
7082	Bretmacher	8	Beruf
22210	Gruensfelder	2	Herkunft
2330	Axter	21	Beruf
65129	Stankjawitschjus	1	Rufname
66655	Straßburg	455	Herkunft
24947	Hassanzadah	9	Rufname
53801	Pützler	15	Wohnstätte
62526	Schützendiebel	1	Übername
25660	Heimkreiter	10	Herkunft
28973	Humbert	443	Rufname
73574	Wannschaff	1	Übername
12894	Drahokoupil	5	Übername
69428	Tittl	86	Rufname
66439	Stolorz	44	Beruf
56331	Rohnacher	21	Wohnstätte
19244	Geislberger	3	Herkunft
67928	Tanhäuser	6	Herkunft
64088	Smoczyk	24	Übername
77295	Wäger	151	Beruf
37425	Kristoffersen	19	Rufname
11205	Dekert	17	Beruf
48731	Niss	81	Rufname
51826	Pettersen	21	Rufname
48951	Nortrup	13	Herkunft
54502	Razlaff	5	Rufname
11480	Deppermann	210	Beruf
39884	Lebong	19	Übername
13687	Dürkob	25	Übername
63010	Senftle	10	Übername
62612	Sedlag	66	Beruf
53036	Powilleit	124	Rufname
4662	Besemer	203	Beruf
67400	Sustrath	7	Wohnstätte
69717	Topaloglou	8	Übername
56813	Rottewert	16	Rufname
10538	Dachsberger	21	Herkunft
43717	Markeli	25	Rufname
3379	Bastian	3351	Rufname
12409	Dlauhy	4	Übername
19684	Gerrmann	24	Rufname
35623	Koblinger	25	Herkunft
42288	Luppold	94	Rufname
8892	Büchlmeir	9	Beruf
11577	Detlefsen	428	Rufname
32923	Karstädter	1	Herkunft
49735	Odenwald	362	Herkunft
10161	Cordier	164	Beruf
46955	Mölchior	3	Rufname
29893	Hüppgens	3	Rufname
32911	Karste	25	Rufname
9217	Carikci	22	Beruf
26453	Hepping	17	Rufname
53323	Prochnow	859	Herkunft
59023	Scheidengraber	12	Übername
5235	Binneboessel	2	Übername
12232	Dirnagl	4	Beruf
62944	Seltzsam	5	Übername
31675	Juengermann	1	Übername
10547	Daemelt	5	Rufname
2226	Auhuber	80	Beruf
78205	Zettelmeier	86	Beruf
32229	Kaerst	1	Rufname
26682	Hermkens	22	Rufname
45715	Mikait	2	Rufname
26418	Henzke	2	Rufname
40002	Lehermaier	4	Beruf
193	Abtmaier	5	Beruf
36909	Kramek	11	Beruf
73401	Wallfarth	4	Übername
12198	Dippolt	13	Rufname
25434	Heetkamp	4	Wohnstätte
62185	Schärfenberg	6	Wohnstätte
50194	Ondrouch	1	Rufname
52876	Pomoryn	2	Herkunft
60597	Schmittschneider	3	Beruf
18510	Füllgrabe	227	Beruf
49516	Oberhemm	4	Rufname
9915	Cleis	6	Rufname
68173	Tellenbröker	20	Wohnstätte
20586	Goevert	11	Rufname
10301	Cross	55	Wohnstätte
35567	Knörchen	25	Übername
25171	Havermeyer	5	Beruf
24343	Hamminga	2	Rufname
52745	Pohlschneider	34	Beruf
3008	Bardenheuer	118	Beruf
3442	Bauerlein	5	Beruf
40971	Liebricht	7	Rufname
49890	Ofczarek	5	Beruf
51008	Papenmeyer	7	Beruf
44393	Mauriszat	3	Rufname
71460	Versteegh	13	Wohnstätte
1689	Appenheimer	62	Herkunft
26875	Hesselbart	7	Übername
51957	Pfefferler	6	Beruf
9057	Bürky	10	Rufname
65371	Steehr	4	Übername
34672	Kleinhuber	20	Beruf
66092	Stiegelmeyr	9	Beruf
1327	Anderer	273	Rufname
22865	Guster	26	Beruf
11991	Dietrichkeit	56	Rufname
23194	Gönewein	1	Rufname
35041	Klockers	3	Beruf
1586	Antonino	17	Rufname
31472	Jonaitis	10	Rufname
71861	Volckmer	19	Rufname
55399	Rescheisen	3	Beruf
32944	Kasbohm	37	Wohnstätte
17684	Freude	362	Übername
355	Adamowsky	22	Herkunft
34191	Kirstin	6	Rufname
21901	Grossian	11	Rufname
17115	Flöschner	3	Beruf
16453	Fernekes	20	Beruf
61321	Schrottner	15	Beruf
24385	Handrack	93	Rufname
75476	Wiederspahn	101	Übername
21487	Grigorew	9	Rufname
47612	Nebuhr	7	Beruf
36648	Kovalcsik	6	Beruf
9490	Chatzistamatis	2	Rufname
44333	Matzat	385	Rufname
42157	Luetzkendorf	2	Herkunft
47124	Mühlenhäuser	1	Wohnstätte
73566	Wannhof	16	Wohnstätte
41439	Lochmeyer	8	Beruf
45632	Mickus	16	Rufname
19428	Georgiadis	226	Rufname
40579	Leopolder	6	Rufname
21520	Grigutsch	79	Rufname
55451	Reumund	7	Rufname
66274	Stockmayer	45	Beruf
32457	Kaltenböck	13	Herkunft
39570	Langius	41	Übername
43761	Markova	33	Rufname
6822	Brauckhoff	282	Wohnstätte
18503	Fülbier	118	Übername
19524	Gerdsmeier	52	Beruf
57869	Sabanci	32	Beruf
59384	Schicklmaier	2	Beruf
10953	Daukantas	1	Rufname
24531	Hanselmann	770	Rufname
66612	Stratemeyer	46	Beruf
37223	Kremerius	8	Beruf
36245	Koors	54	Rufname
60509	Schmiedekind	51	Beruf
34726	Kleintombult	1	Wohnstätte
22967	Gutzmer	192	Rufname
31798	Junghähnel	30	Rufname
60422	Schmetzer	210	Übername
15131	Ennekes	1	Rufname
42116	Luethgarth	1	Rufname
39245	Laemers	8	Rufname
42412	Lämmerer	39	Wohnstätte
50668	Overmeier	27	Beruf
10097	Conrad	7608	Rufname
24544	Hansjuergens	3	Rufname
8707	Böhringer	1225	Herkunft
26820	Herwarth	37	Rufname
3091	Barkusky	31	Herkunft
76931	Woltert	17	Rufname
18838	Garczarzik	1	Beruf
5552	Blaskewitz	9	Rufname
10614	Dahmes	23	Rufname
35571	Knörle	141	Übername
78635	Zuckmayer	15	Beruf
9895	Clawes	3	Rufname
52974	Potgeter	28	Beruf
49386	Nüssmeyer	2	Beruf
20187	Glatthar	17	Übername
37229	Krempels	81	Beruf
56062	Rodehutscord	14	Rufname
53847	Quellenberg	65	Wohnstätte
45308	Mesterharm	22	Rufname
27901	Hoffstede	5	Beruf
43254	Maierl	57	Beruf
20557	Goettelmann	4	Rufname
24741	Harprecht	26	Rufname
51538	Penzold	61	Rufname
20102	Girnuweit	35	Beruf
71575	Vietoris	15	Beruf
66735	Stritmatter	2	Herkunft
28887	Huerst	2	Wohnstätte
47399	Naglschmid	1	Beruf
58992	Schehack	5	Rufname
25568	Heigenmooser	6	Herkunft
4597	Bertke	48	Rufname
30294	Ivancenko	10	Rufname
34863	Klima	495	Rufname
34831	Kleyensteiber	10	Beruf
21880	Grosse-Wöhrmann	1	Wohnstätte
26503	Herbolzheimer	58	Herkunft
14101	Egelhaaf	31	Rufname
17866	Frietschy	3	Rufname
65282	Stauffenberg	69	Herkunft
21007	Graeper	39	Beruf
6396	Borckert	4	Rufname
4573	Bertels	527	Rufname
75375	Widuwilt	6	Übername
5065	Bierschneider	120	Beruf
25327	Hebrock	114	Wohnstätte
7252	Broddack	30	Übername
37787	Kubetzek	17	Rufname
68900	Thomanek	281	Rufname
70271	Tymchenko	5	Rufname
21828	Grossbölting	1	Wohnstätte
924	Alexiadis	30	Rufname
36476	Kortmeyer	10	Beruf
56186	Roepkes	2	Rufname
76560	Wogrin	10	Herkunft
49729	Odendal	4	Herkunft
67671	Szymanzik	5	Rufname
49689	Obl	12	Rufname
35998	Kolesnikova	28	Beruf
18352	Fujita	17	Wohnstätte
41828	Lorenzi	50	Rufname
68295	Terzaki	1	Beruf
19775	Geschwandner	13	Wohnstätte
75846	Willbold	91	Rufname
66110	Stiene	147	Rufname
35434	Kneussel	1	Übername
6203	Boldewin	10	Rufname
50858	Pancratius	14	Rufname
39614	Langschmitt	1	Beruf
63370	Siebenmark	13	Übername
70990	Uschkur	2	Übername
45724	Mikeleitis	3	Rufname
7007	Bremhorst	61	Wohnstätte
59612	Schimaczek	1	Rufname
19756	Gerweck	155	Rufname
47802	Nellis	18	Rufname
73146	Wagenlehner	52	Beruf
54472	Rauschmayer	42	Beruf
67378	Sundmäcker	3	Beruf
10553	Daennart	1	Rufname
9753	Ciftci	361	Beruf
21826	Gross-Heynck	1	Wohnstätte
47583	Nawrozki	18	Übername
66801	Stromayer	1	Beruf
52682	Poeten	17	Rufname
73976	Wegling	26	Wohnstätte
20751	Gontcharova	6	Beruf
47003	Mönk	55	Übername
27541	Hirsekorn	283	Beruf
27554	Hirtl	28	Beruf
13540	Döngel	11	Beruf
10601	Dahlkämper	5	Wohnstätte
7927	Buchmiller	168	Beruf
45610	Michls	1	Rufname
78107	Zellmeyer	1	Beruf
72791	von Loewenich	12	Herkunft
66417	Stollarczyk	4	Beruf
4861	Bialleck	11	Übername
53594	Puglielli	4	Herkunft
26549	Herchenröther	30	Herkunft
49867	Oettel	495	Rufname
30387	Jacob	7390	Rufname
43850	Marställer	32	Beruf
3226	Bartholomäy	1	Rufname
65879	Stenzeleit	18	Rufname
20867	Gotschlig	2	Rufname
36222	Konzemann	2	Rufname
5507	Blankenaufulland	13	Wohnstätte
23275	Görtler	323	Beruf
16522	Fettkoeter	3	Beruf
44440	Mavropoulos	29	Übername
71831	Voitek	3	Rufname
70390	Tünsmeyer	28	Beruf
58556	Schadendorf	73	Herkunft
42745	Lüken	909	Rufname
22581	Grünstäudl	3	Wohnstätte
78638	Zuckrigl	39	Übername
58249	Sandschneider	16	Beruf
1660	Apiarius	14	Beruf
61173	Schorrmann	4	Wohnstätte
27082	Heynz	1	Rufname
76315	Witterholt	2	Rufname
48331	Niederheidt	5	Wohnstätte
73057	Waagner	1	Beruf
64615	Spenser	1	Beruf
9496	Chatzoudis	10	Übername
33422	Keilacker	7	Wohnstätte
41287	Linzmeier	142	Beruf
96	Abkemeier	5	Beruf
14709	Eissfeldt	11	Herkunft
9565	Choma	25	Rufname
27740	Hoellriegl	1	Übername
46217	Moessner	25	Beruf
74496	Weiszgerber	3	Beruf
22804	Gundelach	401	Rufname
63134	Settelmayer	8	Beruf
2425	auf der Landwehr	7	Wohnstätte
51209	Pauliny	2	Rufname
50301	Orlandini	10	Rufname
61249	Schreinemachers	46	Beruf
2534	Baedeker	40	Beruf
20694	Gombold	38	Rufname
49245	Nußpickl	2	Übername
16730	Filipak	5	Rufname
20763	Gontscharuk	7	Beruf
26031	Hellwing	59	Rufname
73934	Wegener	6272	Beruf
7923	Buchmayer	39	Beruf
38410	Kusters	12	Beruf
15791	Eysold	11	Rufname
16026	Fassbaender	4	Beruf
31618	Jostes	169	Rufname
76978	Woortman	7	Wohnstätte
18143	Fruestueck	1	Übername
67292	Suchand	9	Übername
77117	Wronna	129	Übername
28412	Holzweiler	54	Herkunft
2830	Balsser	3	Rufname
47516	Naujak	3	Übername
63682	Sigwarth	75	Rufname
46723	Muschalski	31	Übername
62773	Seidenspinner	256	Beruf
35433	Kneusel	38	Übername
16291	Feiß	43	Übername
74689	Wendländer	19	Herkunft
75953	Willumelies	1	Rufname
37471	Krohnert	2	Rufname
8005	Budwillus	1	Rufname
55947	Rithmüller	13	Beruf
24195	Haliloglu	15	Rufname
60834	Schniedewind	37	Übername
